NAME                                              VERSION                                            TYPE      
@mapbox/node-pre-gyp                              1.0.5                                              npm        
@socket.io/component-emitter                      3.1.0                                              npm        
@types/cookie                                     0.4.1                                              npm        
@types/cors                                       2.8.13                                             npm        
@types/node                                       18.16.0                                            npm        
GClient                                           1.1.2                                              npm        
abbrev                                            1.1.1                                              npm        
accepts                                           1.3.8                                              npm        
agent-base                                        6.0.2                                              npm        
alpine-baselayout                                 3.2.0-r18                                          apk        
alpine-keys                                       2.4-r1                                             apk        
alsa-lib                                          1.2.5.1-r1                                         apk        
ansi-regex                                        2.1.1                                              npm        
ansi-regex                                        5.0.1                                              npm        
ansi-styles                                       4.3.0                                              npm        
apk-tools                                         2.12.7-r3                                          apk        
aproba                                            1.2.0                                              npm        
are-we-there-yet                                  1.1.7                                              npm        
array-flatten                                     1.1.1                                              npm        
async                                             3.2.4                                              npm        
at-spi2-atk                                       2.38.0-r0                                          apk        
at-spi2-core                                      2.42.0-r0                                          apk        
atk                                               2.36.0-r0                                          apk        
atkmm                                             2.28.0-r1                                          apk        
avahi-libs                                        0.8-r5                                             apk        
balanced-match                                    1.0.2                                              npm        
base64id                                          2.0.0                                              npm        
bash                                              5.1.16-r0                                          apk        
bindings                                          1.5.0                                              npm        
body-parser                                       1.20.1                                             npm        
body-parser                                       1.20.2                                             npm        
brace-expansion                                   1.1.11                                             npm        
brace-expansion                                   2.0.1                                              npm        
brotli-libs                                       1.0.9-r5                                           apk        
busybox                                           1.34.1                                             binary     
busybox                                           1.34.1-r7                                          apk        
bytes                                             3.1.2                                              npm        
c-ares                                            1.18.1-r0                                          apk        
ca-certificates                                   20220614-r0                                        apk        
ca-certificates-bundle                            20220614-r0                                        apk        
cairo                                             1.16.0-r5                                          apk        
cairo-gobject                                     1.16.0-r5                                          apk        
cairomm                                           1.14.0-r0                                          apk        
call-bind                                         1.0.2                                              npm        
camelcase                                         5.3.1                                              npm        
cdparanoia-libs                                   10.2-r9                                            apk        
chalk                                             4.1.2                                              npm        
chownr                                            2.0.0                                              npm        
cliui                                             6.0.0                                              npm        
code-point-at                                     1.1.0                                              npm        
color-convert                                     2.0.1                                              npm        
color-name                                        1.1.4                                              npm        
concat-map                                        0.0.1                                              npm        
console-control-strings                           1.1.0                                              npm        
containerd                                        1.5.11-r2                                          apk        
content-disposition                               0.5.4                                              npm        
content-type                                      1.0.5                                              npm        
cookie                                            0.4.2                                              npm        
cookie                                            0.5.0                                              npm        
cookie-signature                                  1.0.6                                              npm        
core-util-is                                      1.0.3                                              npm        
coreutils                                         9.0-r2                                             apk        
cors                                              2.8.5                                              npm        
